
2024/10/18 (23:17:47) | ===> btop++ v.1.4.0
2024/10/18 (23:17:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (23:18:12) | ===> btop++ v.1.4.0
2024/10/18 (23:18:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (23:18:22) | ===> btop++ v.1.4.0
2024/10/18 (23:18:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (23:36:01) | ===> btop++ v.1.4.0
2024/10/18 (23:36:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (23:59:12) | ===> btop++ v.1.4.0
2024/10/18 (23:59:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (00:49:46) | ===> btop++ v.1.4.0
2024/10/19 (00:49:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (01:33:56) | ===> btop++ v.1.4.0
2024/10/19 (01:33:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (01:45:58) | ===> btop++ v.1.4.0
2024/10/19 (01:45:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (02:27:33) | ===> btop++ v.1.4.0
2024/10/19 (02:27:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (02:31:10) | ===> btop++ v.1.4.0
2024/10/19 (02:31:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (02:42:11) | ===> btop++ v.1.4.0
2024/10/19 (02:42:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (13:19:21) | ===> btop++ v.1.4.0
2024/10/19 (13:19:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (17:05:28) | ===> btop++ v.1.4.0
2024/10/19 (17:05:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (17:38:09) | ===> btop++ v.1.4.0
2024/10/19 (17:38:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (23:50:14) | ===> btop++ v.1.4.0
2024/10/19 (23:50:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:11:43) | ===> btop++ v.1.4.0
2024/10/20 (00:11:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:12:48) | ===> btop++ v.1.4.0
2024/10/20 (00:12:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:13:05) | ===> btop++ v.1.4.0
2024/10/20 (00:13:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:13:28) | ===> btop++ v.1.4.0
2024/10/20 (00:13:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:13:36) | ===> btop++ v.1.4.0
2024/10/20 (00:13:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (01:38:12) | ===> btop++ v.1.4.0
2024/10/20 (01:38:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (12:26:26) | ===> btop++ v.1.4.0
2024/10/20 (12:26:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (13:46:46) | ===> btop++ v.1.4.0
2024/10/20 (13:46:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (22:08:00) | ===> btop++ v.1.4.0
2024/10/21 (22:08:00) | WARNING: Intel GPU: Failed to initialize PMU
